start_time,sat,supra_MeV_flux
2022-02-12T22:50:08.263,A,649314.7317727569
2022-04-17T18:04:33.198,A,646900.3610004648
2022-02-03T10:55:00.862,A,645596.5563483215
2021-04-03T05:25:26.231,A,640958.2298605106
2021-12-21T12:24:34.520,A,638633.1580974427
2022-04-28T12:57:07.724,A,637701.4522765417
2022-01-25T23:00:28.370,A,635106.6687259644
2021-05-25T19:41:52.052,A,630747.9984051115
2021-06-30T01:31:31.325,A,630128.4021306838
2022-02-12T22:50:30.122,A,629116.2405209198
2022-04-17T18:04:32.032,A,628542.1594270915
2021-05-26T20:35:29.888,A,625601.3684355158
2022-02-03T10:55:21.481,A,625427.6555578491
2021-09-17T15:43:29.527,A,623798.8866108032
2021-08-09T01:50:42.651,A,623798.8866108032
2022-03-24T09:44:44.345,A,620471.1292238708
2021-10-23T02:41:24.528,A,616641.7472956787
2022-03-24T05:12:00.659,A,615552.1458871736
2022-01-31T05:38:21.588,A,613486.069496225
2021-12-06T00:52:26.182,A,610483.8955825994
2021-12-06T00:55:35.329,A,603676.7404066818
2022-03-24T05:11:51.286,A,601749.2454891723
2022-03-23T13:37:24.653,A,599723.0560885915
