start_time,sat,supra_MeV_flux
2020-02-24T01:37:51.620,B,842.2730859374999
2022-04-06T18:46:03.171,A,842.1800219940903
2021-11-09T21:01:55.425,A,842.145271502164
2022-04-06T14:10:06.228,A,842.0910855842458
2021-11-20T22:53:49.958,A,842.0894461572155
2021-07-28T02:45:27.724,B,842.0402052926459
2020-10-13T05:26:04.795,A,842.0399846715089
2022-03-07T14:48:31.458,A,842.0369114465252
2020-10-06T03:35:58.862,A,841.9710320004823
2021-04-27T03:13:22.005,A,841.9658757764296
2021-08-06T10:44:27.596,A,841.7655660460889
2021-04-21T08:33:46.543,B,841.7009334187277
2021-03-04T23:01:39.138,B,841.6909986335104
2021-07-25T19:12:00.968,A,841.6888844377169
2021-11-09T03:50:15.647,B,841.6850447437807
2022-02-10T18:19:09.301,B,841.6837984153792
2021-03-29T09:48:46.176,B,841.6730885447352
2021-11-14T22:44:25.738,A,841.6696311929248
2022-05-09T00:07:13.055,A,841.6295734951245
2020-09-11T10:53:39.922,A,841.5866105997271
2021-11-22T04:20:00.067,A,841.5770399795553
2021-05-11T03:00:18.737,B,841.5550809651426
2020-10-02T11:50:54,B,841.5463277660608
2021-04-03T06:31:54.771,B,841.5145139666665
2020-11-27T15:43:35.845,B,841.4942579112902
2021-04-18T23:51:10.728,B,841.4778949176902
2021-04-18T23:52:03.428,B,841.4428701650412
2021-06-21T23:48:22.557,A,841.431952907059
2021-04-28T08:32:49.786,B,841.4044622186914
2022-08-17T02:16:28.073,A,841.3897473484251
2020-09-28T12:14:37.947,B,841.3882480822317
2021-09-01T10:07:35.146,B,841.3750003767551
2021-08-11T02:33:12.520,A,841.3614442072696
2021-06-22T16:42:38.642,A,841.3018720565956
2021-04-24T13:44:53.943,A,841.3001862139731
2021-07-22T01:00:51.184,A,841.2946557226951
2021-07-28T01:29:29.065,A,841.2175216337733
2020-02-24T01:37:40.402,B,841.2088842773437
2021-02-07T01:49:31.300,A,841.2029502966375
2021-09-04T10:18:36.031,A,841.1783744932842
2022-06-05T01:18:43.876,A,841.1590717594073
2022-07-22T22:05:15.349,A,841.1486493306309
2021-04-02T16:51:39.336,A,841.0493824376777
2020-10-03T08:08:47.022,B,840.9793346118472
2021-05-06T19:29:56.879,A,840.9763550681636
2021-11-19T19:03:01.981,A,840.8893932451374
2020-02-22T04:23:22.236,B,840.8739404296874
2022-07-15T22:35:59.540,A,840.7928460968076
2021-12-06T03:08:56.286,A,840.7821137842565
2021-04-24T13:46:02.106,A,840.6618904260824
2021-11-06T15:34:16.503,A,840.6184517848671
2020-10-31T20:56:19.394,B,840.5196022477062
2021-04-29T05:43:52.651,A,840.5174178353212
2021-11-05T21:40:22.563,A,840.4387883243496
